,City,Country,Lat,Lng,Hotel Name
0,hobart,AU,-42.88,147.33,Hotel Grand Chancellor Hobart
1,faanui,PF,-16.48,-151.75,Blue Heaven Island
2,eureka,US,40.8,-124.16,Best Western Plus Bayshore Inn
3,cape town,ZA,-33.93,18.42,Atlanticview Cape Town Boutique Hotel
4,kodiak,US,57.79,-152.41,Shelikof Lodge
5,fukue,JP,32.69,128.84,GOTO TSUBAKI HOTEL
6,norman wells,CA,65.28,-126.83,Heritage Hotel
7,albany,US,42.6,-73.97,
8,jamestown,US,42.1,-79.24,Chautauqua Harbor Hotel
9,marigot,MF,18.07,-63.08,Mary's Boon Beach Resort & Spa
10,denpasar,ID,-8.65,115.22,Quest Hotel San Denpasar
11,ushuaia,AR,-54.8,-68.3,Los Cauquenes Resort & Spa
12,dikson,RU,73.51,80.55,
13,asfi,MA,32.3,-9.24,Atlantique Panorama
14,strangnas,SE,59.38,17.03,"Hotel Bishops Arms, Strängnäs"
15,hermanus,ZA,-34.42,19.23,7 on Marine
16,waipawa,NZ,-41.41,175.52,
17,komsomolskiy,UZ,40.43,71.72,Hotel Mehmon Saroy
18,puerto ayora,EC,-0.74,-90.35,Hotel Solymar Galapagos
19,padang,ID,-0.95,100.35,Mercure Padang
20,barrow,US,71.29,-156.79,Top of the World Hotel
21,rikitea,PF,-23.12,-134.97,Pension Maro'i
22,soyo,AO,-6.13,12.37,Kinwica
23,thanh hoa,VN,19.8,105.77,Vinpearl Hotel Thanh Hóa
24,shenjiamen,CN,29.96,122.3,Hilton Zhoushan
25,grand-santi,GF,4.25,-54.38,Hotel La Villa Couacou
26,torbay,CA,47.67,-52.73,
27,ilulissat,GL,69.22,-51.1,Hotel Arctic
28,dossor,KZ,47.53,52.98,"Gostinitsa Orpk ""Nauryz"""
29,cockburn town,TC,21.46,-71.14,Osprey Beach Hotel
30,saint george,US,37.1,-113.58,Red Lion Hotel & Conference Center St. George
31,punta arenas,CL,-53.15,-70.92,Patagonia B&B
32,port blair,IN,11.67,92.75,Sinclairs Bayview Port Blair
33,cherskiy,RU,68.75,161.3,
34,belyy yar,RU,53.6,91.39,
35,laguna,US,38.42,-121.42,Hilton Garden Inn Sacramento Elk Grove
36,chokurdakh,RU,70.63,147.92,
37,adrar,MR,20.5,-10.07,
38,muros,ES,42.78,-9.06,Hotel La Muradana
39,northam,GB,51.03,-4.22,The Village Inn
40,yizheng,CN,24.67,103.43,
41,porto novo,BJ,6.5,2.6,Résidence OUADADA
42,dingzhou,CN,38.51,115.0,GreenTree Inn Hebei DingZhou Railway Station Business Hotel
43,tautira,PF,-17.73,-149.15,
44,avarua,CK,-21.21,-159.78,The Edgewater Resort and Spa
45,kutum,SD,14.2,24.67,
46,bredasdorp,ZA,-34.53,20.04,Victoria Hotel - Bredasdorp
47,maxixe,MZ,-23.86,35.35,Hotel Casa Do Capitão
48,mataura,NZ,-46.19,168.86,Ellie's Villa
49,carnarvon,AU,-24.87,113.63,Coral Coast Tourist Park
50,vaini,TO,-21.2,-175.2,Paradise First Hotel
51,repino,RU,60.17,29.87,Staraya Mel'nitsa
52,vilhena,BR,-12.74,-60.15,Hotel Amazon Plazza Vilhena
53,vostok,RU,46.49,135.88,
54,petropavlovsk-kamchatskiy,RU,53.05,158.65,Hotel Comfort
55,makakilo city,US,21.35,-158.09,Marriott's Ko Olina Beach Club
56,castro,BR,-24.79,-50.01,Hotel Buganville Express
57,zhaoyuan,CN,37.36,120.4,Huangjin Hotel
58,atuona,PF,-9.8,-139.03,Simplicité Marquises
59,penzance,GB,50.12,-5.54,Beachfield Hotel
60,bluff,NZ,-46.6,168.33,Land's End Boutique Hotel
61,manyana,BW,-23.4,21.72,
62,hilo,US,19.73,-155.09,Grand Naniloa Hotel Hilo - a DoubleTree by Hilton
63,fuerte,PH,17.54,120.36,The Orange House - Vigan Villa
64,tinskoy,RU,56.15,96.92,
65,hithadhoo,MV,-0.6,73.08,Pebbles Inn
66,vila franca do campo,PT,37.72,-25.43,A Villa by the Sea
67,mar del plata,AR,-38.0,-57.56,Sheraton Mar del Plata Hotel
68,olinda,BR,-8.01,-34.86,Hotel 7 Colinas
69,pontalina,BR,-17.52,-49.45,Hotel Entre Rios
70,busselton,AU,-33.65,115.33,Broadwater Resort
71,port hedland,AU,-20.32,118.57,ibis Styles Port Hedland
72,meulaboh,ID,4.14,96.13,Hotel Meuligoe
73,patti,IN,31.28,74.86,
74,garowe,SO,8.41,48.48,Curubo Hotel
75,nouadhibou,MR,20.93,-17.03,HOtel Tasiast
76,ancud,CL,-41.87,-73.82,Panamericana Hotel Ancud
77,liverpool,GB,53.41,-2.98,Hard Days Night Hotel
78,kayanza,BI,-3.07,29.67,
79,yellowknife,CA,62.46,-114.35,The Explorer Hotel
80,bay roberts,CA,47.6,-53.26,The Bayside Bed and Breakfast
81,caravelas,BR,-17.71,-39.25,Pousada Liberdade
82,tiznit,MA,29.58,-9.5,
83,margate,GB,51.38,1.39,Sands Hotel Margate
84,lodwar,KE,3.12,35.6,The Cradle Tented Camp
85,tingo maria,PE,-9.29,-76.01,Shushupe Hotel
86,sorong,ID,-0.88,131.25,Vega Hotel Sorong
87,shingu,JP,33.73,135.98,Gran Hotel
88,lebu,CL,-37.62,-73.65,Hotel Plaza Lebu
89,bako,ET,5.78,36.57,Goh Hotel
90,rassvet,RU,46.83,40.75,
91,batagay,RU,67.63,134.63,
92,saskylakh,RU,71.92,114.08,
93,nikolskoye,RU,59.7,30.79,Tourist House - Sablino
94,teguise,ES,29.06,-13.56,HOTEL BOUTIQUE PALACIO ICO
95,pombas,CV,17.15,-25.02,Black Mamba
96,georgetown,MY,5.41,100.34,The Prestige Hotel Penang
97,unai,BR,-16.36,-46.91,Hotel Regente
98,bengkulu,ID,-3.8,102.27,Mercure Bengkulu
99,iqaluit,CA,63.75,-68.51,Frobisher Inn
100,byron bay,AU,-28.65,153.62,Bayhaven Lodge
101,barra patuca,HN,15.8,-84.28,
102,lermontovka,RU,47.15,134.34,
103,zhangye,CN,38.93,100.45,Zhang Ye Ding He Internationla Hotel
104,port alfred,ZA,-33.59,26.89,The Halyards Hotel
105,khatanga,RU,71.97,102.5,"Gostinitsa ""Zapolyar'ye"""
106,strezhevoy,RU,60.73,77.59,Kedr
